5.0000000000000000e+00,5.4801462343596910e-02,3.7513978644346781e-02,1.6775349316424492e+01,2.4430161062703308e+00
6.0000000000000000e+00,6.0734068283007404e-02,3.8552778045207653e-02,1.5696193405431627e+01,2.7260355573810031e+00
7.0000000000000000e+00,6.2362880692903411e-02,3.9138810208124646e-02,1.5079047044921200e+01,2.7412752092319295e+00
8.0000000000000000e+00,6.6671309113353797e-02,3.9223086919854933e-02,1.4205228230117012e+01,2.8857593915780182e+00
9.0000000000000000e+00,6.9777621667965237e-02,3.9485603549028921e-02,1.3395071007335455e+01,2.9495051167451569e+00
1.0000000000000000e+01,7.6304666100502724e-02,3.9278469365744272e-02,1.2503005308674476e+01,2.8464982336499491e+00
1.1000000000000000e+01,8.5318769262465136e-02,4.4218338307852295e-02,1.1691518271384881e+01,2.9124506706226083e+00
1.2000000000000000e+01,9.2814561695474682e-02,5.4819671797829830e-02,1.0932451697288935e+01,2.9077033760264919e+00
1.3000000000000000e+01,9.9805629558235562e-02,5.7502050178159528e-02,1.0116605933777485e+01,2.9693804876622254e+00
1.4000000000000000e+01,1.0989154302605450e-01,5.8756531868062803e-02,9.2413643329997939e+00,2.7682862142770226e+00
1.5000000000000000e+01,1.1669063505754454e-01,6.1784026178718046e-02,8.6747517884302443e+00,2.8300031697814898e+00
1.6000000000000000e+01,1.2564128654261542e-01,6.5361845233939078e-02,8.0209462687552300e+00,2.7426368808685528e+00
1.7000000000000000e+01,1.3964983050706167e-01,7.8508689492807815e-02,7.3057956613768074e+00,2.6113158385600319e+00
1.8000000000000000e+01,1.5500341135592213e-01,8.1384818140844806e-02,6.6799184249250319e+00,2.4051372837900464e+00
1.9000000000000000e+01,1.6386733873215786e-01,9.1007862582186155e-02,6.1755247361237346e+00,2.3355696132755055e+00
2.0000000000000000e+01,1.7441001204723364e-01,9.1588681942617947e-02,5.6893841664354863e+00,2.2332890619742507e+00
2.1000000000000000e+01,1.9492154889919691e-01,1.0161643830839527e-01,5.1917200282681870e+00,2.0290111707609291e+00
2.2000000000000000e+01,2.2182655111576227e-01,1.1180984357872299e-01,4.6012005246026195e+00,1.7462180180593263e+00
2.3000000000000000e+01,2.3498330350044530e-01,1.2099590233294093e-01,4.4420028427504663e+00,1.7196818078912837e+00
